Word,Count,Positive TFIDF,Neutral TFIDF,Negative TFIDF
kapasamut,1,1,1.001148691,1
kapaspas,1,1.003326479,1,1
kapataas,1,1,1.001170948,1
kapatay,1,1,1,1.002055349
kaprisintar,1,1,1,1.001925649
kapulis,6,1,1.001499369,1.002941053
kapuy,1,1,1.001438032,1
karni,1,1.003745386,1,1
karung,7,1.003344806,1.001830854,1
kasakit,1,1,1.001245138,1
kasakmit,1,1,1,1.002112417
kasambag,1,1,1,1.0020334
kasamtang,2,1.003864076,1.001546535,1
kasaulug,1,1,1.001112523,1
kasaway,1,1,1,1.002112417
kasaysay,1,1,1.001090823,1
kasingkasing,1,1.003745386,1,1
kasu,4,1.00387559,1.001212746,1
kasugud,1,1.003531743,1,1
kasuku,1,1,1.001245138,1
kasulbad,1,1,1.001245138,1
kasumpu,1,1,1.001546535,1
kasung,2,1.003344806,1,1.00291137
kasunug,1,1,1,1.002340689
kasupurta,1,1,1,1.001925649
kasusyu,1,1,1,1.00348205
kasuway,1,1,1,1.0020334
katabang,1,1,1.001131671,1
katahu,1,1,1.001184859,1
katakda,2,1,1.001283694,1
katawan,1,1,1.001148691,1
katintal,1,1,1.001245138,1
katuig,1,1,1,1.0020334
katuliku,1,1,1.001090823,1
katulu,1,1,1.001546535,1
katuman,1,1,1.001546535,1
katunaw,1,1.004279492,1,1
katungdan,6,1.004022133,1.001613221,1.002055349
katuyu,1,1,1,1.002626029
kaub,1,1,1.001237498,1
kaubang,1,1,1.001201299,1
kaugaling,2,1.003864076,1.001221026,1
kaugma,1,1.003344806,1,1
kauluh,2,1,1.001485125,1
kaung,2,1,1.001522859,1
kaupirati,1,1.003656368,1,1
kausa,1,1,1,1.002198019
kausab,2,1.003587132,1.001159025,1
kauwaw,1,1,1,1.002454825
kawagtang,1,1.003326479,1,1
kawani,2,1.003864076,1.001124579,1
kawat,1,1,1.001314029,1
kaysa,2,1.003745386,1.001245138,1
kayu,1,1,1,1.002150463
kilusang,1,1,1.001159025,1
kimbirly,1,1,1.001081523,1
kinabuhi,2,1.004279492,1.001090823,1
kinahangl,1,1.003587132,1,1
kinataliwad,1,1,1,1.002198019
kini,24,1.00563448,1.00259955,1.00350889
kining,9,1.005248796,1.001878631,1.002321976
kinnith,1,1,1.001245138,1
kinsa,7,1.004025116,1.001877713,1.002830136
kinutub,1,1,1,1.00348205
kirwin,1,1,1,1.001950224
kita,4,1.003864076,1.001377584,1.002228593
kiulus,1,1,1.001159025,1
klasi,1,1,1,1.002340689
kridibilidad,1,1.00344866,1,1
krimin,1,1,1.001275278,1
kristyanismu,1,1,1.001112523,1
kritiku,1,1,1,1.002454825
kuha,3,1,1.002218102,1
kuliksiy,1,1.003326479,1,1
kulkata,1,1,1.00208905,1
kumbati,1,1,1,1.002150463
kumbinsidu,1,1,1.001131671,1
kumpaniya,2,1,1.001580847,1
kumplitung,1,1,1,1.002340689
kung,6,1,1.001696487,1.002376502
kungrisista,2,1.00344866,1.001314029,1
kungrisu,3,1.004694908,1.001314029,1.002112417
kunik,1,1,1.001184859,1
kunsidirasy,1,1,1.001438032,1
kunsigrah,3,1,1.001958683,1
kuntrabandu,1,1,1.001245138,1
kuntrah,1,1,1,1.00291137
kuntrata,1,1,1.001131671,1
kuntrubirsiyal,1,1,1,1.002259164
kurakut,2,1,1.001131671,1.002454825
kurapsy,5,1,1.001315324,1.00289995
kurti,4,1.003753656,1.001548801,1
kusina,2,1,1.001737806,1
kuwang,1,1,1.001173122,1
kuyug,1,1,1.001187555,1
kwarta,1,1.003531743,1,1
labaw,3,1.003892866,1.001314029,1
labay,1,1,1,1.00209126
labid,1,1,1.001071835,1
labing,3,1.00344866,1.001159025,1.001950224
labut,4,1,1.001682437,1.001950224
lacs,9,1.004330425,1.001863283,1.002150463
lagda,2,1.003365577,1,1.002340689
lagi,1,1,1.001546535,1
lagru,1,1,1.001078733,1
lagruh,1,1,1.001314029,1
laing,4,1,1.00207146,1
lainlain,1,1,1.001438032,1
lakip,1,1,1.00106239,1
lalawig,1,1,1,1.002259164
lalim,1,1,1,1.002150463
lalis,1,1,1,1.00519409
lambigit,3,1,1.001446358,1
lami,2,1,1.001411875,1
lamiang,2,1,1.002249232,1
lang,27,1.004576717,1.002920116,1.006069453
langkub,1,1,1.001546535,1
lapad,2,1,1.001190802,1.0020334
lapulapu,2,1,1.001514622,1
larribirt,1,1,1.001071835,1
lata,2,1,1.001657757,1
laumang,1,1,1.001131671,1
lawum,1,1,1,1.0020334
lich,6,1.003994664,1,1.002922336
lichunan,1,1,1,1.002340689
lictiuns,4,1.003745386,1.001510045,1
lidiratu,1,1.003587132,1,1
ligal,2,1,1.001275278,1.002259164
ligung,1,1,1,1.001925649
lihay,1,1,1,1.0020334
lihuk,1,1,1.001275278,1
liksiy,4,1,1.001457633,1.002613292
liksy,1,1,1,1.002055349
limpiyu,2,1,1.00121766,1
limpyu,2,1,1,1.003095168
limt,1,1,1,1.002259164
lina,2,1,1.001393149,1
linaw,1,1.004279492,1,1
lingkud,1,1,1,1.002198019
linibu,1,1,1.001131671,1
lisud,1,1.003864076,1,1
litar,2,1,1.001380723,1
lubngan,1,1,1.001314029,1
lubung,1,1,1,1.002055349
lugarta,1,1,1.001081523,1
lukah,1,1,1,1.002112417
lukat,3,1.004279492,1,1.00235382
lunis,1,1,1.001314029,1
lunita,1,1,1.001131671,1
lupiz,1,1,1.001365697,1
lusad,1,1,1,1.002081289
lutu,1,1.003745386,1,1
luurdis,1,1,1.001438032,1
lvira,1,1,1.001071835,1
lyunis,1,1.003326479,1,1
mantsah,1,1,1.001124579,1
matay,3,1,1.002124711,1.00234826
mbala,1,1,1.001071835,1
mbistigasy,3,1.003745386,1.001324218,1
mbua,1,1,1.001081523,1
minti,1,1,1.001245138,1
mpiksy,1,1,1.001221026,1
mpliyadu,1,1.003587132,1,1
mpurtasy,1,1.003531743,1,1
mudagh,1,1,1.001314029,1
mudawat,1,1,1.001275278,1
mudilu,1,1,1.001090823,1
mudipinsa,1,1,1.001221026,1
mudiritsu,1,1,1.001245138,1
mudirnu,1,1,1.001124579,1
